Date,AAPL,GM,GOOG,PYPL,TSLA
2020-11-27,116.58999633789062,45.060001373291016,1793.18994140625,211.38999938964844,585.760009765625
2020-11-30,119.05000305175781,43.84000015258789,1760.739990234375,214.1199951171875,567.5999755859375
2020-12-01,122.72000122070312,44.68000030517578,1798.0999755859375,216.5399932861328,584.760009765625
2020-12-02,123.08000183105469,44.58000183105469,1827.949951171875,212.55999755859375,568.8200073242188
2020-12-03,122.94000244140625,44.09000015258789,1826.77001953125,214.5399932861328,593.3800048828125
2020-12-04,122.25,44.400001525878906,1827.989990234375,217.77000427246094,599.0399780273438
2020-12-07,123.75,44.310001373291016,1819.47998046875,217.92999267578125,641.760009765625
2020-12-08,124.37999725341797,43.79999923706055,1818.550048828125,216.94000244140625,649.8800048828125
2020-12-09,121.77999877929688,44.43000030517578,1784.1300048828125,210.8000030517578,604.47998046875
2020-12-10,123.23999786376953,42.869998931884766,1775.3299560546875,215.33999633789062,627.0700073242188
2020-12-11,122.41000366210938,41.91999816894531,1781.77001953125,214.05999755859375,609.989990234375
2020-12-14,121.77999877929688,41.619998931884766,1760.06005859375,220.7899932861328,639.8300170898438
2020-12-15,127.87999725341797,41.65999984741211,1767.77001953125,221.60000610351562,633.25
2020-12-16,127.80999755859375,41.41999816894531,1763.0,230.1999969482422,622.77001953125
2020-12-17,128.6999969482422,42.029998779296875,1747.9000244140625,235.50999450683594,655.9000244140625
2020-12-18,126.66000366210938,41.0099983215332,1731.010009765625,236.4499969482422,695.0
2020-12-21,128.22999572753906,41.209999084472656,1739.3699951171875,237.72000122070312,649.8599853515625
2020-12-22,131.8800048828125,40.900001525878906,1723.5,243.49000549316406,640.3400268554688
2020-12-23,130.9600067138672,42.45000076293945,1732.3800048828125,239.44000244140625,645.97998046875
2020-12-24,131.97000122070312,41.58000183105469,1738.8499755859375,238.63999938964844,661.77001953125
2020-12-28,136.69000244140625,41.65999984741211,1776.0899658203125,235.72999572753906,663.6900024414062
2020-12-29,134.8699951171875,41.56999969482422,1758.719970703125,231.02999877929688,665.989990234375
2020-12-30,133.72000122070312,41.84000015258789,1739.52001953125,231.50999450683594,694.780029296875
2020-12-31,132.69000244140625,41.63999938964844,1751.8800048828125,234.1999969482422,705.6699829101562
2021-01-04,129.41000366210938,40.5099983215332,1728.239990234375,231.9199981689453,729.77001953125
2021-01-05,131.00999450683594,41.65999984741211,1740.9200439453125,234.91000366210938,735.1099853515625
2021-01-06,126.5999984741211,42.97999954223633,1735.2900390625,226.8300018310547,755.97998046875
2021-01-07,130.9199981689453,43.31999969482422,1787.25,235.0399932861328,816.0399780273438
2021-01-08,132.0500030517578,43.060001373291016,1807.2099609375,242.4600067138672,880.02001953125
2021-01-11,128.97999572753906,45.0099983215332,1766.719970703125,237.5,811.1900024414062
2021-01-12,128.8000030517578,47.81999969482422,1746.550048828125,237.63999938964844,849.4400024414062
2021-01-13,130.88999938964844,48.72999954223633,1754.4000244140625,244.89999389648438,854.4099731445312
2021-01-14,128.91000366210938,51.529998779296875,1740.1800537109375,242.05999755859375,845.0
2021-01-15,127.13999938964844,49.970001220703125,1736.18994140625,239.7899932861328,826.1599731445312
2021-01-19,127.83000183105469,54.84000015258789,1790.8599853515625,247.25,844.5499877929688
2021-01-20,132.02999877929688,55.86000061035156,1886.9000244140625,244.25999450683594,850.4500122070312
2021-01-21,136.8699951171875,55.08000183105469,1891.25,248.63999938964844,844.989990234375
2021-01-22,139.07000732421875,55.400001525878906,1901.050048828125,252.0,846.6400146484375
2021-01-25,142.9199981689453,53.38999938964844,1899.4000244140625,247.75,880.7999877929688
2021-01-26,143.16000366210938,52.040000915527344,1917.239990234375,241.0,883.0900268554688
2021-01-27,142.05999755859375,49.34000015258789,1830.7900390625,229.94000244140625,864.1599731445312
2021-01-28,137.08999633789062,51.040000915527344,1863.1099853515625,237.7899932861328,835.4299926757812
2021-01-29,131.9600067138672,50.68000030517578,1835.739990234375,234.30999755859375,793.530029296875
2021-02-01,134.13999938964844,51.5099983215332,1901.3499755859375,241.85000610351562,839.8099975585938
2021-02-02,134.99000549316406,52.720001220703125,1927.510009765625,249.10000610351562,872.7899780273438
2021-02-03,133.94000244140625,54.25,2070.070068359375,251.89999389648438,854.6900024414062
2021-02-04,137.38999938964844,54.130001068115234,2062.3701171875,270.42999267578125,849.989990234375
2021-02-05,136.75999450683594,54.40999984741211,2098.0,269.44000244140625,852.22998046875
2021-02-08,136.91000366210938,56.880001068115234,2092.909912109375,282.1700134277344,863.4199829101562
2021-02-09,136.00999450683594,56.060001373291016,2083.510009765625,284.20001220703125,849.4600219726562
2021-02-10,135.38999938964844,54.880001068115234,2095.3798828125,283.17999267578125,804.8200073242188
2021-02-11,135.1300048828125,53.5,2095.889892578125,285.0299987792969,811.6599731445312
2021-02-12,135.3699951171875,53.599998474121094,2104.110107421875,298.3699951171875,816.1199951171875
2021-02-16,133.19000244140625,53.459999084472656,2121.89990234375,304.7900085449219,796.219970703125
2021-02-17,130.83999633789062,52.88999938964844,2128.31005859375,297.20001220703125,798.1500244140625
2021-02-18,129.7100067138672,52.15999984741211,2117.199951171875,290.80999755859375,787.3800048828125
2021-02-19,129.8699951171875,52.56999969482422,2101.139892578125,286.9200134277344,781.2999877929688
2021-02-22,126.0,51.97999954223633,2064.8798828125,273.8500061035156,714.5
2021-02-23,125.86000061035156,51.11000061035156,2070.860107421875,265.0,698.8400268554688
2021-02-24,125.3499984741211,52.900001525878906,2095.169921875,266.07000732421875,742.02001953125
2021-02-25,120.98999786376953,50.599998474121094,2031.3599853515625,253.94000244140625,682.219970703125
2021-02-26,121.26000213623047,51.33000183105469,2036.8599853515625,259.8500061035156,675.5
2021-03-01,127.79000091552734,52.540000915527344,2081.510009765625,273.6300048828125,718.4299926757812
2021-03-02,125.12000274658203,54.11000061035156,2075.840087890625,269.19000244140625,686.4400024414062
2021-03-03,122.05999755859375,52.66999816894531,2026.7099609375,255.05999755859375,653.2000122070312
2021-03-04,120.12999725341797,51.83000183105469,2049.090087890625,239.07000732421875,621.4400024414062
2021-03-05,121.41999816894531,53.75,2108.5400390625,239.0500030517578,597.9500122070312
2021-03-08,116.36000061035156,54.97999954223633,2024.1700439453125,226.08999633789062,563.0
2021-03-09,121.08999633789062,54.650001525878906,2052.699951171875,241.75999450683594,673.5800170898438
2021-03-10,119.9800033569336,56.83000183105469,2055.030029296875,242.07000732421875,668.0599975585938
2021-03-11,121.95999908447266,56.33000183105469,2114.77001953125,253.8300018310547,699.5999755859375
2021-03-12,121.02999877929688,59.2599983215332,2061.919921875,250.35000610351562,693.72998046875
2021-03-15,123.98999786376953,57.939998626708984,2066.489990234375,249.97999572753906,707.9400024414062
2021-03-16,125.56999969482422,57.119998931884766,2092.52001953125,249.30999755859375,676.8800048828125
2021-03-17,124.76000213623047,60.04999923706055,2091.080078125,251.47000122070312,701.8099975585938
2021-03-18,120.52999877929688,59.27000045776367,2036.219970703125,238.41000366210938,653.1599731445312
2021-03-19,119.98999786376953,59.81999969482422,2043.199951171875,241.27999877929688,654.8699951171875
2021-03-22,123.38999938964844,58.099998474121094,2038.5899658203125,244.38499450683594,670.0
2021-03-23,122.54000091552734,56.15999984741211,2052.9599609375,243.77000427246094,662.1599731445312
2021-03-24,120.08999633789062,55.810001373291016,2045.06005859375,234.27000427246094,630.27001953125
2021-03-25,120.58999633789062,56.599998474121094,2044.3599853515625,234.24000549316406,640.3900146484375
2021-03-26,121.20999908447266,56.52000045776367,2035.550048828125,241.02999877929688,618.7100219726562
2021-03-29,121.38999938964844,55.939998626708984,2055.949951171875,235.6699981689453,611.2899780273438
2021-03-30,119.9000015258789,58.5099983215332,2055.5400390625,236.5399932861328,635.6199951171875
2021-03-31,122.1500015258789,57.459999084472656,2068.6298828125,242.83999633789062,667.9299926757812
2021-04-01,123.0,57.79999923706055,2137.75,247.5399932861328,661.75
2021-04-05,125.9000015258789,61.040000915527344,2225.550048828125,251.02000427246094,691.0499877929688
2021-04-06,126.20999908447266,61.939998626708984,2224.75,253.19000244140625,691.6199951171875
2021-04-07,127.9000015258789,60.83000183105469,2249.679931640625,255.60000610351562,670.969970703125
2021-04-08,130.36000061035156,60.09000015258789,2265.43994140625,264.5,683.7999877929688
2021-04-09,133.0,60.15999984741211,2285.8798828125,266.7699890136719,677.02001953125
2021-04-12,131.24000549316406,59.65999984741211,2254.7900390625,269.0299987792969,701.97998046875
2021-04-13,134.42999267578125,58.4900016784668,2267.27001953125,275.42999267578125,762.3200073242188
2021-04-14,132.02999877929688,58.47999954223633,2254.840087890625,267.2099914550781,732.22998046875
2021-04-15,134.5,58.61000061035156,2296.659912109375,274.0,738.8499755859375
2021-04-16,134.16000366210938,58.709999084472656,2297.760009765625,269.8699951171875,739.780029296875
2021-04-19,134.83999633789062,57.880001068115234,2302.39990234375,267.9100036621094,714.6300048828125
2021-04-20,133.11000061035156,55.77000045776367,2293.6298828125,264.42999267578125,718.989990234375
2021-04-21,133.5,57.4900016784668,2293.2900390625,264.8900146484375,744.1199951171875
2021-04-22,131.94000244140625,56.65999984741211,2267.919921875,262.2699890136719,719.6900024414062
2021-04-23,134.32000732421875,57.529998779296875,2315.300048828125,266.0299987792969,729.4000244140625
2021-04-26,134.72000122070312,58.209999084472656,2326.739990234375,271.7200012207031,738.2000122070312
2021-04-27,134.38999938964844,58.970001220703125,2307.1201171875,268.82000732421875,704.739990234375
2021-04-28,133.5800018310547,58.54999923706055,2379.909912109375,271.0899963378906,694.4000244140625
2021-04-29,133.47999572753906,56.56999969482422,2429.889892578125,267.8500061035156,677.0
2021-04-30,131.4600067138672,57.220001220703125,2410.1201171875,262.2900085449219,709.4400024414062
2021-05-03,132.5399932861328,57.150001525878906,2395.169921875,259.0899963378906,684.9000244140625
2021-05-04,127.8499984741211,55.34000015258789,2354.25,250.16000366210938,673.5999755859375
2021-05-05,128.10000610351562,57.58000183105469,2356.739990234375,247.39999389648438,670.9400024414062
2021-05-06,129.74000549316406,58.720001220703125,2381.35009765625,252.02000427246094,663.5399780273438
2021-05-07,130.2100067138672,58.9900016784668,2398.68994140625,253.36000061035156,672.3699951171875
2021-05-10,126.8499984741211,57.40999984741211,2341.659912109375,243.6300048828125,629.0399780273438
